uk_region,n,base_rate_%,flag_rate_%,flag_gap_pts,precision_%,recall_%,pop_share_%,queue_share_%,queue_over_rep
Wales,2621,10.1,33.0,22.9,22.2,72.2,4.8,0.0,0.01
South West England,5248,7.8,29.8,22.0,20.4,77.8,9.6,12.7,1.32
East Midlands,3506,10.2,30.5,20.4,26.5,79.8,6.4,5.9,0.92
Yorkshire and the Humber,5325,9.2,28.6,19.4,24.9,77.5,9.8,5.1,0.52
West Midlands,5405,7.1,26.3,19.2,19.3,71.6,9.9,4.0,0.4
North West England,6655,9.0,27.1,18.1,22.9,68.6,12.2,22.2,1.82
South East England,8202,6.8,23.3,16.5,21.4,73.2,15.1,4.6,0.31
East of England,5258,7.1,23.0,15.9,22.4,72.7,9.7,16.7,1.73
North East England,2354,7.8,21.5,13.6,24.6,67.4,4.3,9.4,2.18
London,9838,4.4,8.2,3.8,20.7,38.9,18.1,19.2,1.07
