asset_rating,count
-2598,1
-1165,1
-492,1
-481,1
-221,1
-220,1
-132,1
-120,1
-75,1
-59,1
-36,1
-25,1
-21,1
-15,2
-14,1
-13,1
-12,1
-11,1
-7,1
-6,1
-5,1
-4,1
-2,1
0,1
1,1
2,2
6,6
7,3
8,4
9,4
10,6
11,8
12,7
13,2
14,6
15,9
16,9
17,17
18,16
19,21
20,29
21,36
22,28
23,56
24,40
25,54
26,73
27,68
28,82
29,80
30,102
31,83
32,110
33,137
34,127
35,143
36,161
37,167
38,168
39,214
40,203
41,180
42,199
43,235
44,247
45,248
46,291
47,290
48,300
49,304
50,338
51,363
52,312
53,381
54,390
55,419
56,416
57,414
58,414
59,437
60,435
61,448
62,459
63,482
64,476
65,493
66,447
67,470
68,542
69,511
70,563
71,509
72,559
73,536
74,535
75,532
76,454
77,512
78,472
79,511
80,452
81,496
82,476
83,490
84,472
85,456
86,483
87,457
88,495
89,502
90,446
91,490
92,452
93,491
94,521
95,473
96,462
97,456
98,503
99,507
100,481
101,329
102,354
103,335
104,345
105,376
106,373
107,373
108,369
109,344
110,340
111,347
112,365
113,345
114,345
115,360
116,358
117,356
118,386
119,349
120,385
121,389
122,421
123,443
124,441
125,447
