property_type_group,high_risk_score
Retail/Financial/Professional,0.1786118413417515
Office/Workshop,0.06515619846614287
Retail/Financial/Professional,0.14741131987444445
Retail/Financial/Professional,0.13671442049604085
Restaurant/Cafe,0.089135269708612
Retail/Financial/Professional,0.18044649211966346
Restaurant/Cafe,0.11606215279681693
Office/Workshop,0.06563901206042314
Retail/Financial/Professional,0.032530418035400764
Restaurant/Cafe,0.0582511136022326
Retail/Financial/Professional,0.17192319886807053
Retail/Financial/Professional,0.1646921582048014
Restaurant/Cafe,0.12136977923721308
Retail/Financial/Professional,0.17978799608285229
Restaurant/Cafe,0.11442000013361636
Restaurant/Cafe,0.13495473308090278
Office/Workshop,0.5780705019147215
Retail/Financial/Professional,0.1432066796311752
Restaurant/Cafe,0.11647434958389369
Retail/Financial/Professional,0.15918461405202086
Retail/Financial/Professional,0.15824461129452566
Restaurant/Cafe,0.1128641733049237
Retail/Financial/Professional,0.035818889494383443
Retail/Financial/Professional,0.16891945309424983
Retail/Financial/Professional,0.034175214969995864
Retail/Financial/Professional,0.18362886811285847
Office/Workshop,0.27720955366296585
Retail/Financial/Professional,0.2110611244405324
Restaurant/Cafe,0.02890507287448357
Office/Workshop,0.564171437618838
Retail/Financial/Professional,0.2169501293437164
Retail/Financial/Professional,0.0346392965697095
Retail/Financial/Professional,0.040093646901998216
Office/Workshop,0.07606303292724172
Office/Workshop,0.5644966188575298
Restaurant/Cafe,0.02187719107316602
Restaurant/Cafe,0.024424223233823646
Restaurant/Cafe,0.021649051361466675
Restaurant/Cafe,0.04794703853741655
Restaurant/Cafe,0.025688488417026277
Retail/Financial/Professional,0.0318710886002388
Restaurant/Cafe,0.11688337395653528
Retail/Financial/Professional,0.038598611292187134
Retail/Financial/Professional,0.17772397407732232
Office/Workshop,0.5797926302588194
Restaurant/Cafe,0.026838744680577696
Retail/Financial/Professional,0.1799562851269768
Retail/Financial/Professional,0.1680440937467188
Retail/Financial/Professional,0.15933207986511852
Retail/Financial/Professional,0.032407645626584894
Retail/Financial/Professional,0.042393078141527415
Retail/Financial/Professional,0.05217633528495606
Retail/Financial/Professional,0.03072960964710033
Retail/Financial/Professional,0.025721109130384997
Office/Workshop,0.32746912436815345
Office/Workshop,0.03220155177889435
Retail/Financial/Professional,0.25586205814505203
Office/Workshop,0.0518974955005838
Office/Workshop,0.759463372977247
Retail/Financial/Professional,0.12977991929468347
Retail/Financial/Professional,0.17793756035971453
Restaurant/Cafe,0.15019554468054588
Office/Workshop,0.366622978159463
Office/Workshop,0.03054926178231518
Retail/Financial/Professional,0.400308464633187
Retail/Financial/Professional,0.48870457115249705
Office/Workshop,0.5570233524863354
Restaurant/Cafe,0.0906981243218359
Retail/Financial/Professional,0.38297373683452063
Retail/Financial/Professional,0.21478867441827668
Restaurant/Cafe,0.12312704232196874
Retail/Financial/Professional,0.04479574491948137
Office/Workshop,0.06339642469204847
Retail/Financial/Professional,0.14724517604826728
Office/Workshop,0.3435766774145936
Office/Workshop,0.5418333196786926
Restaurant/Cafe,0.12440990196168208
Office/Workshop,0.02887039595183716
Retail/Financial/Professional,0.04883964646756909
Restaurant/Cafe,0.1436332056797094
Office/Workshop,0.03526842985730569
Restaurant/Cafe,0.020790960078205415
